,No Preprocessing,Normalization,Standardization,PCA,Normalization + PCA,Standardization + PCA,Normalization + Standardization + PCA
Silhouette Score,0.5711381937868838,0.29936674064895064,0.2848589191898987,0.5722554756855063,0.5680591392935428,0.5601697480957203,0.5601697480957203
Davies-Bouldin Index,0.5342431775436286,1.309591311241723,1.3891879777181646,0.532968611524317,0.5848130281782083,0.5977226208167407,0.5977226208167408
Calinski-Harabasz Index,561.815657860671,83.3170271984246,70.9400080031512,562.5187518777308,376.2625472823089,343.94920956363984,343.94920956363995
