,No Preprocessing,Normalization,Standardization,PCA,Normalization + PCA,Standardization + PCA,Normalization + Standardization + PCA
Silhouette Score,0.5489993239795675,0.22721618897329227,0.20724037632038336,0.5510520283196167,0.4549046279926626,0.4479173168055305,0.45592446199131953
Davies-Bouldin Index,0.5450474069118009,1.7263045918904172,1.9556614173522728,0.5431026790065422,0.7608927399093183,0.7413182575809013,0.7228014051127216
Calinski-Harabasz Index,787.0469221178355,54.56480148634339,46.544871683580986,789.5236458521811,346.7730030264414,312.50491339689495,312.83239995783725
