,No Preprocessing,Normalization,Standardization,PCA,Normalization + PCA,Standardization + PCA,Normalization + Standardization + PCA
Silhouette Score,0.5074843044233786,0.20415379209163967,0.18674235566758707,0.5009132358875239,0.4472461286082825,0.38977362151827033,0.38977362151827016
Davies-Bouldin Index,0.5513145248753538,1.93677578981231,1.9228554600490608,0.5563448455874204,0.7576509052060416,0.8398800278312992,0.8398800278312993
Calinski-Harabasz Index,684.2226128880217,52.27704253240945,43.67927204722388,685.2852597974253,337.0090763204785,283.56342298132256,283.5634229813227
