,No Preprocessing,Normalization,Standardization,PCA,Normalization + PCA,Standardization + PCA,Normalization + Standardization + PCA
Silhouette Score,0.5644796401732068,0.2948290632158541,0.2774439826952266,0.5655806398804167,0.5433269066195718,0.5590883962040384,0.5590883962040384
Davies-Bouldin Index,0.5357343073560251,1.3183111453428589,1.4185919431857326,0.5342839088928276,0.6141540321340041,0.6013357297090851,0.6013357297090852
Calinski-Harabasz Index,552.851711505718,81.32763860672199,67.6474675044098,553.5316544515358,339.1947370718192,341.0582446863441,341.0582446863442
