,No Preprocessing,Normalization,Standardization,PCA,Normalization + PCA,Standardization + PCA,Normalization + Standardization + PCA
Silhouette Score,0.5620323449580341,0.25993667561623146,0.2599970957712596,0.5625118393701665,0.4904964972770917,0.49142133957103173,0.49142133957103173
Davies-Bouldin Index,0.544344690880639,1.7230661310580344,1.793552746692445,0.5431251503634672,0.7132304651261605,0.7422307067719097,0.7422307067719096
Calinski-Harabasz Index,708.0866763901622,65.85204613361334,56.17429657517111,709.5669265014311,346.7164363115521,328.51549982699316,328.5154998269934
