,No Preprocessing,Normalization,Standardization,PCA,Normalization + PCA,Standardization + PCA,Normalization + Standardization + PCA
Silhouette Score,0.5711381937868838,0.3013463273503232,0.2848589191898987,0.5722554756855063,0.5680591392935428,0.5610505693103248,0.5610505693103248
Davies-Bouldin Index,0.5342431775436286,1.305317989484142,1.3891879777181646,0.532968611524317,0.5848130281782083,0.5972661544221362,0.5972661544221362
Calinski-Harabasz Index,561.815657860671,83.37374750844354,70.9400080031512,562.5187518777308,376.2625472823089,344.7925948320999,344.7925948321
