,No Preprocessing,Standardization,PCA,Normalization + PCA,Standardization + PCA,Normalization + Standardization + PCA
Silhouette Score,0.5024921259394886,0.22447619269259034,0.5032214854110606,0.5633036442187266,0.5591630593760692,0.5591630593760692
Davies-Bouldin Index,0.5561495856687338,1.3200588029456866,0.5551160826853976,0.5833534486803972,0.5975684881707928,0.5975684881707927
Calinski-Harabasz Index,454.0589434652176,6.4354344589923205,454.54046461358314,370.83364566225976,343.8269625189105,343.8269625189106
