,No Preprocessing,Normalization,Standardization,PCA,Normalization + PCA,Standardization + PCA,Normalization + Standardization + PCA
Silhouette Score,0.560672694839426,0.24870332075467336,0.22583665933475802,0.5619198165355055,0.4795482733417378,0.48128643268348265,0.48128643268348253
Davies-Bouldin Index,0.5535739500227292,1.7528702791091588,1.7886506143765981,0.5523295795815449,0.7376872226169204,0.7186573802882569,0.7186573802882569
Calinski-Harabasz Index,670.6259906052811,63.51486945880699,51.46414629882825,672.0227741756655,336.88446594087577,307.2411411789918,307.24114117899194
